cluster index	parent mass	RTMean	ATTRIBUTE_condition:GNPSGROUP:M1	ATTRIBUTE_condition:GNPSGROUP:PA14	ATTRIBUTE_condition:GNPSGROUP:QC	ATTRIBUTE_condition:GNPSGROUP:media
233	338.16818562814666	0.77233773	10902937.833333334	17379871.666666668	15433716.666666666	22767189.6
236	678.792188746894	0.7767134	31910002.666666668	0.0	20030687.666666668	0.0
237	667.8045392951864	0.7772834	572501218.3333334	0.0	191321503.33333334	0.0
229	387.2234037789759	0.77771413	22260490.666666668	30571705.0	15678911.833333334	45545097.2
235	659.8043226496101	0.77844185	38097637.666666664	0.0	16880871.333333332	0.0
238	251.14993073272257	0.78007376	40232626.333333336	32576111.666666668	26430922.666666668	46274776.4
242	451.2295326088515	0.78387046	0.0	0.0	0.0	34325320.4
240	220.1177729116309	0.7848273	40243148.333333336	99721402.33333333	48524297.0	63459721.6
241	242.0995959640028	0.78482825	28189910.0	33994259.666666664	31850593.0	14744785.4
256	203.138872048265	0.78806776	1314438.9166666667	16501021.5	32684818.0	290688376.0
244	652.7966140091622	0.7910161	28512067.0	0.0	11052803.333333334	0.0
243	237.1229933275	0.7939011	0.0	33744787.333333336	13259997.333333334	76117790.8
245	694.2607385616012	0.7967329	40408258.666666664	0.0	29768472.0	0.0
247	401.28668411489525	0.800185	0.0	0.0	0.0	141488152.0
263	261.14422371785605	0.8006037	25429917.0	120965595.0	38195010.0	202119472.0
248	242.18596894092107	0.80116063	195569361.66666666	185275080.0	119761288.33333333	181325710.0
249	201.14696524290912	0.804543	0.0	0.0	2099896.6666666665	158040926.0
254	279.1344448765769	0.805909	73668233.33333333	114644071.66666667	49725530.0	117722477.2
253	382.1943146016948	0.80602354	8902758.25	14029336.666666666	0.0	10876558.2
252	360.2124495999134	0.80649924	103354069.0	170321590.0	66894669.0	169838418.0
255	229.1545072338224	0.81154543	46242230.666666664	832056451.6666666	715000400.0	4120013740.0
258	357.2129803694223	0.81602865	13122178.166666666	12451431.5	6901357.583333333	11540515.4
259	276.17039792402704	0.81953245	119634896.66666667	119863911.66666667	76636007.66666667	128791037.2
262	219.1337523640617	0.8263413	58540308.666666664	66377013.666666664	43220076.333333336	82832562.8
260	183.6103859829984	0.82742524	0.0	7355262.333333333	0.0	38032885.6
264	201.1232329421496	0.82870626	15609418.166666666	14751278.5	13056172.166666666	13651635.0
261	366.213431415012	0.83007866	0.0	11305939.0	0.0	43744100.0
265	306.1446076104198	0.8310659	23547695.666666668	0.0	8168853.0	0.0
246	457.3015634588738	0.83263946	0.0	31024502.666666668	33185687.0	158839370.0
278	247.11074155606315	0.83698195	6242070.666666667	24979473.666666668	7719765.333333333	24454497.6
270	441.2341158570604	0.8373761	15317915.166666666	16465580.166666666	9643973.5	22090451.6
272	205.1257736976665	0.83827007	0.0	0.0	0.0	23878875.2
274	443.14750218221	0.844013	107195350.66666667	101508257.33333333	66838922.333333336	0.0
273	211.08646728856448	0.8440603	775942136.6666666	863236060.0	632546861.6666666	0.0
268	409.2442381164894	0.8462385	0.0	11636733.0	0.0	56426162.8
277	243.1337127934591	0.84661084	13797531.833333334	36799206.333333336	12431352.333333334	63274993.2
275	359.2648077252401	0.8468284	0.0	16416674.0	17366665.0	271692690.0
269	461.3326949442702	0.8490801	0.0	0.0	11021820.5	164493634.0
276	344.18111518806404	0.849336	0.0	44244161.0	14413659.0	72646218.4
267	253.1518177729764	0.8497852	0.0	0.0	18265078.166666668	58777785.2
286	230.15789618524929	0.8557055	1368649.6666666667	103696534.33333333	90300994.33333333	508064466.0
282	345.14419157885027	0.8669616	0.0	60621883.666666664	6436078.833333333	168307548.0
284	479.2837218750354	0.87367	0.0	0.0	0.0	30332375.2
285	247.12864390901188	0.8781777	25127760.333333332	27299529.333333332	18717957.0	20418639.2
287	270.1921438222464	0.8811969	154034126.66666666	179177355.0	114034496.0	189876184.0
288	304.1764715411197	0.884463	167470407.33333334	187444206.66666666	126177043.33333333	189455482.0
289	459.3170688878733	0.88455313	0.0	0.0	0.0	36382248.0
290	442.2658283915464	0.8849248	8929963.333333334	9432767.083333334	0.0	0.0
292	312.1914624523882	0.8895001	17845514.5	23554086.333333332	13817100.333333334	23416638.4
294	229.1545250811889	0.8918926	33896293.5	703628935.0	714791860.0	4249031840.0
291	251.1363340255816	0.8942903	0.0	15558087.5	16510333.833333334	44518577.6
295	415.2546849246073	0.8955677	103299645.33333333	0.0	40808792.0	0.0
296	195.11270469349324	0.8974893	271746325.0	292732458.3333333	213692193.33333334	262415368.0
297	326.2071651660111	0.8978498	26885535.333333332	27442774.333333332	18450034.0	32005054.8
299	172.09668417400272	0.901088	45698428.333333336	21635607.666666668	25165329.666666668	0.0
298	445.30165708037896	0.9022339	0.0	0.0	0.0	39373122.4
280	231.170160728304	0.90482634	29908176.666666668	148759940.0	479751771.6666667	3888852520.0
301	215.13890833311712	0.90963876	53496768.666666664	339717060.0	93559748.33333333	379734112.0
309	232.1735235834381	0.91193897	0.0	19493065.333333332	58835121.333333336	399252278.0
293	253.1179753682808	0.91234744	9745362.0	93181649.33333333	28537960.666666668	131657861.6
300	269.1257305506796	0.91312104	0.0	0.0	0.0	12715757.0
321	166.08621078515503	0.915221	0.0	3500431.5	0.0	23548272.4
306	407.26483407338674	0.91584265	0.0	0.0	0.0	34593218.4
304	358.196753629188	0.91622627	23370147.333333332	23707365.666666668	15598914.666666666	26778468.0
