row ID,row m/z,row retention time,intensity_measure,ion_mobility,ion_mobility_unit,ccs,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,171103_PMA_TK_M1_01.mzML Peak area,171103_PMA_TK_M1_02.mzML Peak area,171103_PMA_TK_M1_03.mzML Peak area,171103_PMA_TK_M1_04.mzML Peak area,171103_PMA_TK_M1_05.mzML Peak area,171103_PMA_TK_M1_06.mzML Peak area,171103_PMA_TK_PA14_01.mzML Peak area,171103_PMA_TK_PA14_02.mzML Peak area,171103_PMA_TK_PA14_03.mzML Peak area,171103_PMA_TK_PA14_04.mzML Peak area,171103_PMA_TK_PA14_05.mzML Peak area,171103_PMA_TK_PA14_06.mzML Peak area,171103_PMA_TK_QC_03.mzML Peak area,171103_PMA_TK_QC_04.mzML Peak area,171103_PMA_TK_QC_05.mzML Peak area,171103_PMA_TK_QC_06.mzML Peak area,171103_PMA_TK_QC_07.mzML Peak area,171103_PMA_TK_QC_08.mzML Peak area,171103_PMA_TK_media_02.mzML Peak area,171103_PMA_TK_media_03.mzML Peak area,171103_PMA_TK_media_04.mzML Peak area,171103_PMA_TK_media_05.mzML Peak area,171103_PMA_TK_media_06.mzML Peak area,Unnamed: 36
40,152.03164003144445,0.33444905,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,30291034.0,32231538.0,30104604.0,31819352.0,28428592.0,39739750.0,12195904.0,12058365.0,11342356.0,13499806.0,11870627.0,0.0,60170064.0,55994990.0,59535950.0,38029548.0,38719464.0,
46,130.04988378364413,0.33677313,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,146793100.0,150317140.0,123523690.0,111761650.0,139958720.0,180880530.0,63814710.0,58468470.0,60107772.0,69831150.0,62767068.0,57482820.0,217294850.0,207483410.0,229902500.0,183019070.0,167282030.0,
48,133.03179150588656,0.34282458,height,,,,,,,,,,,23300762.0,21251898.0,19028520.0,18162894.0,20903960.0,22914880.0,117273830.0,106688990.0,86004010.0,82644584.0,99617180.0,101763020.0,65857156.0,58602332.0,52331256.0,49198580.0,45095252.0,50973228.0,127909260.0,134732620.0,137049630.0,126632210.0,113528350.0,
49,150.05832274098822,0.34282458,height,,,,,,,,,,,138069980.0,128957400.0,113949860.0,100120730.0,120487670.0,142185820.0,704858560.0,676205760.0,532266750.0,487649600.0,652402800.0,633709400.0,353706800.0,327532670.0,311952060.0,306327780.0,282671070.0,311198620.0,812754100.0,855180700.0,911668740.0,793618400.0,767613950.0,
51,310.17571690537864,0.3502007,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,8503168.0,84921530.0,68495560.0,52256664.0,48775496.0,60155892.0,60659424.0,29773938.0,22370300.0,15066574.0,9145601.0,6825561.5,6748653.0,231212940.0,207243170.0,227867140.0,195553060.0,196794370.0,
53,251.1052199469842,0.3513805,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45090572.0,60685870.0,44073556.0,35620696.0,31348744.0,
56,187.131417832884,0.35546294,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58652020.0,62701212.0,54909864.0,56685616.0,55488976.0,
54,373.25573047837486,0.35789585,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,11560743.0,11570763.0,0.0,0.0,11334328.0,10614507.0,8490700.0,0.0,0.0,0.0,0.0,0.0,123835930.0,96122090.0,110679690.0,82266160.0,94070280.0,
59,279.10075961130894,0.36178815,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,15886752.0,13875581.0,11355063.0,10864390.0,12276500.0,12808195.0,0.0,0.0,0.0,0.0,0.0,0.0,17145168.0,16558220.0,18395260.0,16766747.0,17996284.0,
57,217.11809788216485,0.3678464,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,31067654.0,18867730.0,14253683.0,13901868.0,21496678.0,21376012.0,8751242.0,10438249.0,9231827.0,9119216.0,8924283.0,10020216.0,30471150.0,27632354.0,33019974.0,23486898.0,17246258.0,
55,227.0999370161286,0.37154227,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6453335.0,7853776.0,6776410.5,7950267.0,0.0,37225868.0,30525812.0,30821208.0,34359756.0,38126800.0,
61,158.09236515823866,0.37472588,height,,,,,,,,,,,11751326.0,11526932.0,12704626.0,11801091.0,13229568.0,14789112.0,22713918.0,13092291.0,12279684.0,13270801.0,14942803.0,17150262.0,16439628.0,14641751.0,12038617.0,11565253.0,11402324.0,10486958.0,19629376.0,19367470.0,19715846.0,14919681.0,12552727.0,
60,269.1605171328809,0.37876925,height,,,,,,,,,,,20233784.0,15139330.0,16942126.0,13514356.0,20129888.0,24859762.0,249016900.0,256269800.0,204006900.0,177059790.0,214413380.0,197189620.0,87551624.0,89059670.0,84832170.0,82517210.0,84949176.0,72432630.0,620169340.0,601861570.0,631318900.0,557215600.0,515450400.0,
58,338.1818235963412,0.37970346,height,,,,,,,,,,,10203049.0,0.0,7599193.5,0.0,0.0,11189792.0,13051708.0,13512631.0,0.0,9464270.0,11210412.0,0.0,22449502.0,21872284.0,19761782.0,15909847.0,12825083.0,11159571.0,313258850.0,292045900.0,315372450.0,267890320.0,258390260.0,
64,205.1180044580365,0.38814622,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16746496.0,16528356.0,17770768.0,18126426.0,17722694.0,15999460.0,94435590.0,90161464.0,100617096.0,117433840.0,113362330.0,
62,357.24914186932074,0.38971153,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,23019100.0,26739222.0,18119740.0,20666362.0,18859036.0,22538496.0,12062939.0,12408145.0,9898711.0,0.0,0.0,0.0,76982520.0,74337440.0,76984376.0,81267900.0,65773096.0,
63,179.12832100308384,0.39193925,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,50140412.0,66217376.0,45264860.0,45131404.0,47708930.0,37455680.0,25159554.0,23087780.0,22099216.0,16781918.0,12730832.0,11229549.0,229368670.0,212898000.0,233867730.0,223346880.0,200599790.0,
65,294.1808815049173,0.39421293,height,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,42581536.0,49644012.0,28707446.0,28070868.0,40057950.0,31600424.0,21797698.0,18711724.0,14809301.0,9142188.0,0.0,0.0,168325890.0,192391300.0,177267040.0,196933300.0,146147070.0,
67,235.11874357255135,0.3958464,height,,,,,,,,,,,263637860.0,210788080.0,229757840.0,208992880.0,237995570.0,283597000.0,222126880.0,230062110.0,196402720.0,197065630.0,194497400.0,202459140.0,197522850.0,203110700.0,206101500.0,177710480.0,174250430.0,182528930.0,206480910.0,199757340.0,215235070.0,200856290.0,179721920.0,
